;date;France;Germany;Italy
0;2020-01-24;2.9663907923229805e-08;;
1;2020-01-25;4.449586188484471e-08;;
2;2020-01-26;4.449586188484471e-08;;
3;2020-01-27;4.449586188484471e-08;;
4;2020-01-28;5.932781584645961e-08;;
5;2020-01-29;7.415976980807452e-08;;
6;2020-01-30;7.415976980807452e-08;;
7;2020-01-31;7.415976980807452e-08;;
8;2020-02-01;8.899172376968942e-08;;
9;2020-02-02;8.899172376968942e-08;;
10;2020-02-03;8.899172376968942e-08;;
11;2020-02-04;8.899172376968942e-08;;
12;2020-02-05;8.899172376968942e-08;;
13;2020-02-06;8.899172376968942e-08;;
14;2020-02-07;8.899172376968942e-08;;
15;2020-02-08;1.6315149357776394e-07;;
16;2020-02-09;1.6315149357776394e-07;;
17;2020-02-10;1.6315149357776394e-07;;
18;2020-02-11;1.6315149357776394e-07;;
19;2020-02-12;1.6315149357776394e-07;;
20;2020-02-13;1.6315149357776394e-07;;
21;2020-02-14;1.6315149357776394e-07;;
22;2020-02-15;1.7798344753937885e-07;;
23;2020-02-16;1.7798344753937885e-07;;
24;2020-02-17;1.7798344753937885e-07;;
25;2020-02-18;1.7798344753937885e-07;;
26;2020-02-19;1.7798344753937885e-07;;
27;2020-02-20;1.7798344753937885e-07;;
28;2020-02-21;1.7798344753937885e-07;;
29;2020-02-22;1.7798344753937885e-07;;
30;2020-02-23;1.7798344753937885e-07;;
31;2020-02-24;1.7798344753937885e-07;;
32;2020-02-25;2.0764735546260866e-07;;
33;2020-02-26;2.6697517130906827e-07;;
34;2020-02-27;5.636142505413663e-07;;
35;2020-02-28;8.454213758120494e-07;;
36;2020-02-29;1.4831953961614903e-06;;
37;2020-03-01;1.9281540150099376e-06;;
38;2020-03-02;2.8329032066684466e-06;;
39;2020-03-03;3.1443742398623593e-06;;
40;2020-03-04;4.271602740945092e-06;;
41;2020-03-05;6.3184123876479485e-06;;
42;2020-03-06;9.13648364035478e-06;;
43;2020-03-07;1.4060692355610929e-05;;
44;2020-03-08;1.6685948206816765e-05;;
45;2020-03-09;2.0927887039838627e-05;;
46;2020-03-10;2.644537391355937e-05;;
47;2020-03-11;3.4009670433982974e-05;;
48;2020-03-12;3.4009670433982974e-05;;
49;2020-03-13;5.4551926670819614e-05;;
50;2020-03-14;6.663996914953577e-05;;
51;2020-03-15;6.71739194921539e-05;;
52;2020-03-16;9.907745246358755e-05;;
53;2020-03-17;0.00011438402895197413;;
54;2020-03-18;0.00013528225208388954;;
55;2020-03-19;0.00016258787932722256;;
56;2020-03-20;0.00018903325324078193;;
57;2020-03-21;0.00021423274302156565;;
58;2020-03-22;0.00024827207736347187;;
59;2020-03-23;0.00029803328290468987;;
60;2020-03-24;0.0003313013556405921;;
61;2020-03-25;0.00037512977959716415;;
62;2020-03-26;0.0004332117113108481;;
63;2020-03-27;0.0004894544807332918;;
64;2020-03-28;0.0005583934027468779;;
65;2020-03-29;0.0005970009789089615;;
66;2020-03-30;0.000661416154964255;;
67;2020-03-31;0.0007746581234611848;;
68;2020-04-01;0.0008464892764972858;;
69;2020-04-02;0.000877636379816677;;
70;2020-04-03;0.0009551036753581917;;
71;2020-04-04;0.0007018332295096557;;
72;2020-04-05;0.0007143810625611818;;
73;2020-04-06;0.0007538043961911543;;
74;2020-04-07;0.0007019815490492717;;
75;2020-04-08;0.0007590994037554508;;
76;2020-04-09;0.0008152235175462015;;
77;2020-04-10;0.0008384503574500905;;
78;2020-04-11;0.000859882530924624;;
79;2020-04-12;0.0016125300347067722;;
80;2020-04-13;0.0016590875381922814;;
81;2020-04-14;0.0019178754709145384;;
82;2020-04-15;0.0019654415472694373;;
83;2020-04-16;0.0021519978641986294;;
84;2020-04-17;0.0021800450891400432;;
85;2020-04-18;0.0022364658420100264;;
86;2020-04-19;0.002252691999644033;;
87;2020-04-20;0.0022889709590341433;;
88;2020-04-21;0.0023285129482958087;;
89;2020-04-22;0.002355180801518792;;
90;2020-04-23;0.002329832992198392;;
91;2020-04-24;0.0023715256147844917;;
92;2020-04-25;0.0023964136335320814;;
93;2020-04-26;0.002405802260389784;;
94;2020-04-27;0.002460472842692296;;
95;2020-04-28;0.0025069116905461126;;
96;2020-04-29;0.002485331197531963;;
97;2020-04-30;0.0025033965174572096;;
98;2020-05-01;0.0025111981252410195;;
99;2020-05-02;0.0025229450327786183;;
100;2020-05-03;0.002528299368158761;;
101;2020-05-04;0.002536634926285189;;
102;2020-05-05;0.0025531725549523894;;
103;2020-05-06;0.002614517516537629;;
104;2020-05-07;0.0026255079944231853;;
105;2020-05-08;0.002633383761976803;;
106;2020-05-09;0.0026412150336685356;;
107;2020-05-10;0.0026449081902049777;;
108;2020-05-11;0.0026495802557028863;;
109;2020-05-12;0.0026607487170359823;;
110;2020-05-13;0.0026684761650499836;;
111;2020-05-14;0.0026779982794933404;;
112;2020-05-15;0.002685607071875649;;
113;2020-05-16;0.0026917623327697192;;
114;2020-05-17;0.002693838806324345;;
115;2020-05-18;0.002700424193883302;;
116;2020-05-19;0.002707855002818071;;
117;2020-05-20;0.002714989172673608;;
118;2020-05-21;0.002718949304381359;;
119;2020-05-22;0.00273016226157634;;
120;2020-05-23;0.002738260508439382;;
121;2020-05-24;0.002731749280650233;;
122;2020-05-25;0.002736569665687758;;
123;2020-05-26;0.0027403518139479696;;
124;2020-05-27;0.002742917741983329;;
125;2020-05-28;0.002792486132123046;;
126;2020-05-29;0.002801296312776245;;
127;2020-05-30;0.002827904838183382;;
128;2020-05-31;0.002831345851502477;;
129;2020-06-01;0.0028373676248108926;;
130;2020-06-02;0.0028277713505977277;;
131;2020-06-03;0.002779923467117558;;
132;2020-06-04;0.002844590786390199;;
133;2020-06-05;0.0028532081516418973;;
134;2020-06-06;0.002861692029307941;;
135;2020-06-07;0.0028667497256088517;;
136;2020-06-08;0.002870813680994334;;
137;2020-06-09;0.0028790009195811457;;
138;2020-06-10;0.002888270890807155;;
139;2020-06-11;0.002893669722049183;;
140;2020-06-12;0.0029055501171724365;;
141;2020-06-13;0.002912921598291359;;
142;2020-06-14;0.0029187060603363887;;
143;2020-06-15;0.0029207232060751683;;
144;2020-06-16;0.002930556791551719;;
145;2020-06-17;0.0029378096170389486;;
146;2020-06-18;0.0029465011420604552;;
147;2020-06-19;0.002958173889828246;;
148;2020-06-20;0.002967354869330486;;
149;2020-06-21;0.0029724422295393195;;
150;2020-06-22;0.002974548367001869;;
151;2020-06-23;0.002984901070867076;;
152;2020-06-24;0.002988876034528789;;
153;2020-06-25;0.0029926581827890006;;
154;2020-06-26;0.00301139094064252;;
155;2020-06-27;0.003018035656017324;;
156;2020-06-28;0.0030119693868470234;;
157;2020-06-29;0.003021535997152265;;
158;2020-06-30;0.0030280917208032987;;
159;2020-07-01;0.0030427753552252973;;
160;2020-07-02;0.0030507697784106077;;
161;2020-07-03;0.003058764201595918;;
162;2020-07-04;0.0030640740411141763;;
163;2020-07-05;0.003064252024561716;;
164;2020-07-06;0.0030793509536946395;;
165;2020-07-07;0.003086084660793213;;
166;2020-07-08;0.00309827652694966;;
167;2020-07-09;0.0031048619145086173;;
168;2020-07-10;0.0031154519296372105;;
169;2020-07-11;0.0031191747500815756;;
170;2020-07-12;0.0031194120613449615;;
171;2020-07-13;0.0031405179318323394;;
172;2020-07-14;0.0031414375129779596;;
173;2020-07-15;0.003152205511554092;;
